t_hw,pos_m,setpoint_m,servo_deg
4.068,0.1529,0.15,74
4.073,0.1539,0.15,74
4.078,0.1538,0.15,74
4.083,0.1558,0.15,62
4.088,0.1557,0.15,56
4.093,0.1553,0.15,52
4.098,0.1552,0.15,49
4.104,0.1552,0.15,77
4.108,0.1543,0.15,77
4.113,0.1518,0.15,77
4.118,0.151,0.15,77
4.123,0.1493,0.15,77
4.128,0.1466,0.15,77
4.133,0.145,0.15,100
4.138,0.144,0.15,114
4.143,0.1433,0.15,122
4.147,0.1421,0.15,127
4.152,0.1409,0.15,130
4.157,0.1412,0.15,132
4.162,0.1426,0.15,133
4.167,0.1428,0.15,134
4.172,0.1419,0.15,134
4.176,0.1427,0.15,119
4.182,0.143,0.15,110
4.186,0.1416,0.15,105
4.191,0.1424,0.15,102
4.196,0.1409,0.15,100
4.201,0.1398,0.15,114
4.206,0.1391,0.15,122
4.21,0.1396,0.15,127
4.215,0.139,0.15,130
4.22,0.1398,0.15,125
4.225,0.1406,0.15,121
4.23,0.1403,0.15,119
4.235,0.1419,0.15,118
4.24,0.1443,0.15,117
4.245,0.1443,0.15,94
4.25,0.143,0.15,80
4.255,0.1442,0.15,72
4.259,0.1431,0.15,67
4.264,0.1433,0.15,90
4.27,0.1425,0.15,105
4.274,0.1419,0.15,114
4.279,0.1415,0.15,119
4.284,0.1423,0.15,122
4.288,0.1421,0.15,126
4.294,0.1418,0.15,128
4.299,0.1416,0.15,129
4.303,0.1427,0.15,130
4.308,0.1425,0.15,130
4.313,0.1424,0.15,123
4.318,0.1423,0.15,118
4.323,0.1435,0.15,115
4.328,0.1433,0.15,113
4.333,0.1435,0.15,108
4.338,0.1446,0.15,106
4.343,0.1447,0.15,104
4.348,0.1438,0.15,103
4.352,0.1439,0.15,102
4.357,0.143,0.15,110
4.362,0.1423,0.15,115
4.367,0.1423,0.15,118
4.372,0.1429,0.15,119
4.377,0.1424,0.15,120
4.382,0.1433,0.15,121
4.387,0.1433,0.15,121
4.392,0.143,0.15,121
4.397,0.144,0.15,121
4.402,0.1437,0.15,112
4.407,0.1452,0.15,112
4.412,0.1459,0.15,112
4.416,0.1453,0.15,112
4.421,0.145,0.15,112
4.426,0.1443,0.15,110
4.431,0.1454,0.15,110
4.436,0.1453,0.15,110
4.441,0.1452,0.15,110
4.446,0.1453,0.15,110
4.45,0.1454,0.15,110
4.455,0.1455,0.15,110
4.46,0.1468,0.15,110
4.465,0.1478,0.15,110
4.47,0.1478,0.15,110
4.475,0.1487,0.15,110
4.479,0.1485,0.15,110
4.485,0.1486,0.15,110
4.49,0.1495,0.15,110
4.494,0.1493,0.15,110
4.499,0.1482,0.15,110
4.504,0.148,0.15,110
4.509,0.1484,0.15,110
4.514,0.1499,0.15,110
4.519,0.1489,0.15,110
4.524,0.1493,0.15,110
4.529,0.1487,0.15,110
4.534,0.1503,0.15,110
4.539,0.1506,0.15,110
4.543,0.152,0.15,110
4.549,0.1523,0.15,110
4.554,0.1523,0.15,110
4.559,0.1514,0.15,110
4.564,0.1529,0.15,110
4.569,0.153,0.15,110
4.574,0.1531,0.15,110
4.579,0.1534,0.15,110
4.584,0.1536,0.15,110
4.589,0.1532,0.15,110
4.594,0.1547,0.15,110
4.599,0.1548,0.15,110
4.604,0.1561,0.15,85
4.609,0.1554,0.15,69
4.614,0.1557,0.15,60
4.619,0.156,0.15,54
4.624,0.1563,0.15,76
4.629,0.1555,0.15,90
4.634,0.155,0.15,97
4.64,0.1557,0.15,101
4.645,0.1563,0.15,105
4.65,0.1559,0.15,107
4.655,0.1567,0.15,108
4.66,0.1584,0.15,109
4.666,0.1582,0.15,100
4.671,0.1598,0.15,95
4.676,0.1601,0.15,92
4.681,0.1603,0.15,90
4.686,0.1594,0.15,92
4.691,0.16,0.15,93
4.696,0.1604,0.15,94
4.701,0.1608,0.15,94
4.707,0.1612,0.15,91
4.712,0.1616,0.15,90
4.717,0.1609,0.15,89
4.722,0.1616,0.15,89
4.728,0.1615,0.15,95
4.733,0.1632,0.15,100
4.738,0.1636,0.15,102
4.744,0.1629,0.15,104
4.749,0.1618,0.15,105
4.754,0.1627,0.15,105
4.759,0.1625,0.15,105
4.764,0.1623,0.15,106
4.77,0.1634,0.15,99
4.775,0.1641,0.15,95
4.78,0.1638,0.15,92
4.786,0.1647,0.15,91
4.791,0.1654,0.15,89
4.796,0.1659,0.15,87
4.801,0.1654,0.15,86
4.807,0.1661,0.15,85
4.812,0.1667,0.15,88
4.817,0.1683,0.15,90
4.823,0.1686,0.15,90
4.827,0.1681,0.15,90
4.833,0.1675,0.15,93
4.838,0.167,0.15,95
4.843,0.1678,0.15,96
4.849,0.1678,0.15,97
4.854,0.1675,0.15,101
4.859,0.1673,0.15,103
4.865,0.1671,0.15,105
4.87,0.1681,0.15,106
4.876,0.1682,0.15,103
4.881,0.1681,0.15,101
4.886,0.1684,0.15,100
4.891,0.1694,0.15,99
4.897,0.17,0.15,93
4.903,0.1706,0.15,90
4.907,0.1706,0.15,88
4.913,0.1712,0.15,87
4.919,0.1717,0.15,87
4.924,0.1721,0.15,87
4.929,0.1714,0.15,86
4.935,0.1721,0.15,86
4.94,0.1726,0.15,90
4.945,0.1729,0.15,91
4.951,0.1732,0.15,93
4.956,0.1724,0.15,94
4.962,0.1719,0.15,102
4.967,0.1727,0.15,107
4.972,0.1721,0.15,110
4.978,0.1729,0.15,112
4.983,0.1734,0.15,102
4.989,0.1728,0.15,96
4.994,0.1724,0.15,92
5,0.1733,0.15,90
5.005,0.1739,0.15,93
5.01,0.1744,0.15,95
5.016,0.1747,0.15,97
5.021,0.1751,0.15,97
5.027,0.1744,0.15,98
5.032,0.1748,0.15,99
5.037,0.1763,0.15,99
5.043,0.1764,0.15,99
5.048,0.1759,0.15,94
5.054,0.1762,0.15,90
5.059,0.1763,0.15,89
5.065,0.1765,0.15,88
5.07,0.1777,0.15,86
5.076,0.1787,0.15,84
5.081,0.1795,0.15,83
5.086,0.179,0.15,83
5.092,0.1787,0.15,87
5.097,0.1795,0.15,89
5.103,0.179,0.15,90
5.108,0.1787,0.15,90
5.114,0.1785,0.15,97
5.119,0.1774,0.15,100
5.125,0.1766,0.15,103
5.13,0.176,0.15,104
5.136,0.1767,0.15,113
5.141,0.1772,0.15,119
5.147,0.177,0.15,122
5.152,0.1765,0.15,124
5.158,0.1761,0.15,119
5.163,0.1758,0.15,116
5.169,0.1756,0.15,114
5.174,0.1767,0.15,113
5.18,0.1763,0.15,109
5.185,0.1759,0.15,106
5.191,0.1757,0.15,105
5.196,0.1756,0.15,104
5.202,0.1755,0.15,108
5.207,0.1766,0.15,111
5.213,0.1762,0.15,112
5.218,0.1759,0.15,113
5.224,0.1757,0.15,108
5.229,0.175,0.15,106
5.235,0.175,0.15,104
5.24,0.175,0.15,103
5.246,0.175,0.15,107
5.251,0.175,0.15,109
5.256,0.175,0.15,111
5.262,0.175,0.15,112
5.268,0.175,0.15,109
5.273,0.175,0.15,107
5.278,0.175,0.15,106
5.284,0.175,0.15,105
5.289,0.1746,0.15,107
5.295,0.1759,0.15,108
5.3,0.1768,0.15,109
5.306,0.1765,0.15,110
5.311,0.1773,0.15,93
5.317,0.1779,0.15,85
5.322,0.1784,0.15,79
5.328,0.179,0.15,75
5.334,0.1792,0.15,77
5.339,0.1793,0.15,79
5.344,0.1794,0.15,79
5.35,0.1788,0.15,80
5.355,0.1793,0.15,89
5.361,0.1785,0.15,93
5.366,0.1784,0.15,97
5.372,0.1778,0.15,99
5.377,0.1773,0.15,110
5.382,0.1781,0.15,118
5.388,0.1786,0.15,122
5.394,0.1792,0.15,124
5.399,0.1795,0.15,105
5.405,0.1798,0.15,93
5.41,0.1809,0.15,87
5.416,0.181,0.15,83
5.422,0.1821,0.15,78
5.427,0.182,0.15,75
5.433,0.1819,0.15,73
5.438,0.1828,0.15,72
5.443,0.1835,0.15,78
5.449,0.183,0.15,81
5.455,0.1827,0.15,83
5.46,0.1824,0.15,84
5.466,0.1822,0.15,97
5.471,0.1812,0.15,105
5.477,0.1822,0.15,110
5.483,0.183,0.15,113
5.488,0.1822,0.15,108
5.494,0.1823,0.15,106
5.499,0.1824,0.15,104
5.505,0.1824,0.15,103
5.511,0.1825,0.15,101
5.516,0.1825,0.15,100
5.522,0.1825,0.15,100
5.527,0.1825,0.15,99
5.533,0.1826,0.15,100
5.538,0.1826,0.15,100
5.544,0.1823,0.15,100
5.55,0.1817,0.15,100
5.555,0.1819,0.15,104
5.561,0.1809,0.15,106
5.566,0.1817,0.15,107
5.572,0.1807,0.15,108
5.578,0.1821,0.15,105
5.583,0.182,0.15,103
5.589,0.1813,0.15,101
5.594,0.1813,0.15,101
5.6,0.1814,0.15,105
5.606,0.1815,0.15,107
5.611,0.1816,0.15,108
5.616,0.1825,0.15,109
5.622,0.1823,0.15,102
5.628,0.1815,0.15,97
5.633,0.1825,0.15,94
5.639,0.1832,0.15,93
5.644,0.1818,0.15,99
5.65,0.1811,0.15,103
5.655,0.18,0.15,105
5.661,0.1811,0.15,106
5.666,0.1812,0.15,107
5.672,0.1801,0.15,108
5.678,0.1793,0.15,109
5.683,0.1787,0.15,109
5.689,0.1776,0.15,119
5.694,0.1794,0.15,125
5.7,0.1788,0.15,129
5.705,0.1805,0.15,131
5.711,0.1807,0.15,104
5.717,0.1819,0.15,89
5.722,0.1807,0.15,79
5.728,0.1808,0.15,73
5.733,0.181,0.15,83
5.739,0.18,0.15,90
5.744,0.1792,0.15,93
5.75,0.179,0.15,95
5.755,0.1786,0.15,110
5.761,0.1791,0.15,119
5.766,0.18,0.15,124
5.772,0.1793,0.15,128
5.778,0.1808,0.15,106
5.783,0.18,0.15,93
5.789,0.1807,0.15,86
5.794,0.1819,0.15,81
5.8,0.1818,0.15,85
5.805,0.1818,0.15,87
5.811,0.1817,0.15,88
5.816,0.1817,0.15,89
5.822,0.1817,0.15,94
5.828,0.1817,0.15,98
5.833,0.1807,0.15,100
5.839,0.18,0.15,101
5.844,0.1816,0.15,101
5.85,0.1812,0.15,101
5.855,0.1804,0.15,101
5.861,0.1809,0.15,101
5.866,0.1814,0.15,103
5.872,0.1817,0.15,103
5.877,0.1819,0.15,104
5.883,0.1821,0.15,104
5.889,0.1815,0.15,102
5.894,0.1818,0.15,101
5.899,0.182,0.15,100
5.905,0.1821,0.15,99
5.911,0.1822,0.15,97
5.916,0.1823,0.15,95
5.922,0.1833,0.15,94
5.927,0.1831,0.15,94
5.933,0.183,0.15,92
5.938,0.1819,0.15,92
5.944,0.182,0.15,91
5.95,0.1815,0.15,91
5.955,0.1817,0.15,101
5.961,0.1818,0.15,108
5.966,0.1818,0.15,111
5.972,0.1808,0.15,114
5.978,0.1813,0.15,111
5.983,0.1806,0.15,109
5.989,0.181,0.15,108
5.994,0.1814,0.15,108
6,0.1817,0.15,102
6.005,0.1819,0.15,99
6.011,0.1821,0.15,98
6.016,0.1822,0.15,97
6.022,0.1823,0.15,95
6.028,0.1833,0.15,94
6.033,0.182,0.15,94
6.039,0.1821,0.15,94
6.044,0.1832,0.15,92
6.05,0.1833,0.15,91
6.055,0.1832,0.15,90
6.061,0.182,0.15,90
6.066,0.1821,0.15,99
6.072,0.1832,0.15,105
6.078,0.183,0.15,109
6.083,0.1818,0.15,111
6.089,0.1823,0.15,106
6.094,0.1823,0.15,103
6.1,0.1834,0.15,101
6.106,0.1832,0.15,100
6.111,0.183,0.15,96
6.117,0.1829,0.15,94
6.122,0.1829,0.15,93
6.127,0.1828,0.15,92
6.133,0.1825,0.15,98
6.139,0.1823,0.15,102
6.145,0.1824,0.15,104
6.15,0.1824,0.15,105
6.156,0.1835,0.15,98
6.161,0.1833,0.15,94
6.167,0.1824,0.15,91
6.172,0.1825,0.15,90
6.178,0.1835,0.15,94
6.183,0.1822,0.15,96
6.189,0.1824,0.15,98
6.195,0.1813,0.15,99
6.2,0.1825,0.15,104
6.206,0.1826,0.15,107
6.212,0.1835,0.15,109
6.217,0.1831,0.15,110
6.222,0.1818,0.15,109
6.228,0.1823,0.15,109
6.234,0.1823,0.15,109
6.239,0.1812,0.15,109
6.245,0.1825,0.15,102
6.251,0.1816,0.15,98
6.256,0.1818,0.15,95
6.262,0.1828,0.15,94
6.267,0.1809,0.15,105
6.273,0.1801,0.15,111
6.278,0.1796,0.15,115
6.284,0.1801,0.15,117
6.289,0.1795,0.15,117
6.295,0.1812,0.15,118
6.3,0.1814,0.15,118
6.306,0.1805,0.15,118
6.312,0.181,0.15,104
6.317,0.1814,0.15,95
6.323,0.1806,0.15,90
6.328,0.1799,0.15,88
6.334,0.1805,0.15,95
6.339,0.182,0.15,99
6.345,0.181,0.15,102
6.35,0.1796,0.15,104
6.356,0.1791,0.15,109
6.362,0.181,0.15,113
6.367,0.1807,0.15,115
6.373,0.18,0.15,116
6.378,0.1806,0.15,102
6.384,0.18,0.15,94
6.389,0.1806,0.15,90
6.395,0.182,0.15,88
6.401,0.1822,0.15,85
6.406,0.1832,0.15,83
6.411,0.1831,0.15,82
6.417,0.1836,0.15,82
6.422,0.1834,0.15,83
6.428,0.1835,0.15,84
6.434,0.1833,0.15,85
6.439,0.1831,0.15,85
6.445,0.183,0.15,92
6.45,0.1829,0.15,97
6.456,0.1828,0.15,100
6.462,0.1818,0.15,102
6.468,0.1804,0.15,114
6.473,0.18,0.15,121
6.478,0.1797,0.15,126
6.484,0.1795,0.15,128
6.489,0.1787,0.15,126
6.495,0.1787,0.15,124
6.5,0.1787,0.15,124
6.506,0.1787,0.15,123
6.511,0.1799,0.15,108
6.517,0.1815,0.15,98
6.523,0.1808,0.15,93
6.528,0.1803,0.15,90
6.534,0.1799,0.15,94
6.539,0.1797,0.15,96
6.545,0.1804,0.15,97
6.55,0.1803,0.15,98
6.556,0.1809,0.15,94
6.561,0.1813,0.15,92
6.567,0.1817,0.15,90
6.572,0.1819,0.15,90
6.578,0.1821,0.15,89
6.583,0.1822,0.15,87
6.589,0.1816,0.15,87
6.594,0.1819,0.15,86
6.6,0.1821,0.15,91
6.605,0.1822,0.15,94
6.611,0.1816,0.15,96
6.617,0.1809,0.15,98
6.622,0.1813,0.15,102
6.628,0.1807,0.15,104
6.633,0.1812,0.15,106
6.639,0.1816,0.15,107
6.645,0.1809,0.15,106
6.65,0.1804,0.15,106
6.656,0.18,0.15,106
6.661,0.1797,0.15,106
6.667,0.1804,0.15,106
6.672,0.1809,0.15,106
6.678,0.1814,0.15,106
6.683,0.1817,0.15,106
6.689,0.1812,0.15,99
6.694,0.1816,0.15,95
6.7,0.1818,0.15,92
6.705,0.182,0.15,91
6.711,0.1815,0.15,93
6.716,0.1804,0.15,94
6.722,0.1818,0.15,95
6.727,0.1823,0.15,95
6.733,0.1824,0.15,92
6.739,0.1812,0.15,91
6.744,0.1825,0.15,90
6.75,0.1828,0.15,90
6.755,0.1828,0.15,91
6.761,0.1827,0.15,92
6.766,0.1836,0.15,93
6.772,0.1843,0.15,93
6.778,0.1847,0.15,87
6.783,0.1839,0.15,82
6.789,0.1833,0.15,80
6.794,0.1832,0.15,78
6.8,0.183,0.15,94
6.805,0.1829,0.15,104
6.811,0.1822,0.15,110
6.816,0.182,0.15,114
6.822,0.1812,0.15,117
6.827,0.1805,0.15,119
6.833,0.181,0.15,120
6.838,0.1805,0.15,121
6.844,0.1801,0.15,118
6.85,0.18,0.15,116
6.855,0.1807,0.15,115
6.861,0.1809,0.15,115
6.867,0.1813,0.15,102
6.872,0.1816,0.15,95
6.877,0.1819,0.15,90
6.883,0.1821,0.15,88
6.888,0.1822,0.15,88
6.894,0.1823,0.15,89
6.9,0.1833,0.15,89
6.905,0.1841,0.15,89
6.911,0.1831,0.15,89
6.916,0.1839,0.15,89
6.922,0.1824,0.15,88
6.927,0.1828,0.15,88
6.933,0.1827,0.15,93
6.938,0.1817,0.15,97
6.944,0.1819,0.15,99
6.949,0.1821,0.15,100
6.955,0.1822,0.15,102
6.961,0.1811,0.15,104
6.966,0.1815,0.15,104
6.972,0.1818,0.15,105
6.977,0.182,0.15,103
6.983,0.1822,0.15,102
6.989,0.1823,0.15,102
6.994,0.183,0.15,102
7,0.1829,0.15,95
7.005,0.1818,0.15,92
7.01,0.1823,0.15,90
7.016,0.1834,0.15,89
7.022,0.1841,0.15,87
7.027,0.1829,0.15,86
7.033,0.1837,0.15,85
7.039,0.1835,0.15,85
7.044,0.1821,0.15,100
7.05,0.1821,0.15,109
7.055,0.1811,0.15,115
7.061,0.1814,0.15,119
7.067,0.1826,0.15,108
7.072,0.1824,0.15,101
7.078,0.1813,0.15,97
7.083,0.1805,0.15,95
7.089,0.1808,0.15,105
7.094,0.1811,0.15,112
7.1,0.1814,0.15,116
7.105,0.1814,0.15,118
7.111,0.181,0.15,109
7.117,0.1812,0.15,104
7.122,0.1814,0.15,101
7.128,0.1809,0.15,99
7.134,0.1811,0.15,98
7.139,0.1813,0.15,98
7.144,0.1814,0.15,98
7.15,0.1808,0.15,97
7.156,0.181,0.15,98
7.161,0.1812,0.15,98
7.167,0.1813,0.15,98
7.172,0.1814,0.15,99
7.178,0.1815,0.15,96
7.183,0.1815,0.15,95
7.189,0.1815,0.15,94
7.194,0.1815,0.15,94
7.2,0.1816,0.15,95
7.206,0.1816,0.15,96
7.211,0.1816,0.15,96
7.216,0.1814,0.15,96
7.222,0.1814,0.15,98
7.227,0.1815,0.15,99
7.233,0.1816,0.15,99
7.238,0.1806,0.15,99
7.244,0.1809,0.15,102
7.249,0.1805,0.15,103
7.255,0.1808,0.15,104
7.26,0.181,0.15,104
7.266,0.1812,0.15,100
7.272,0.1813,0.15,98
7.277,0.1814,0.15,96
7.283,0.1815,0.15,96
7.288,0.1809,0.15,98
7.294,0.1812,0.15,100
7.299,0.1835,0.15,101
7.305,0.1842,0.15,101
7.311,0.1835,0.15,87
7.317,0.183,0.15,78
7.322,0.1827,0.15,73
7.327,0.1824,0.15,70
7.333,0.1822,0.15,88
7.338,0.1819,0.15,98
7.344,0.1818,0.15,104
7.349,0.1811,0.15,108
7.355,0.1813,0.15,109
7.361,0.1813,0.15,109
7.366,0.1826,0.15,109
7.372,0.1829,0.15,109
7.377,0.1826,0.15,98
7.383,0.1826,0.15,91
7.388,0.1817,0.15,88
7.394,0.1816,0.15,86
7.399,0.1817,0.15,94
7.405,0.1816,0.15,100
7.411,0.1814,0.15,104
7.416,0.1814,0.15,106
7.422,0.1815,0.15,103
7.427,0.1817,0.15,102
7.433,0.1817,0.15,101
7.439,0.1817,0.15,100
7.444,0.1817,0.15,98
7.449,0.181,0.15,97
7.455,0.1809,0.15,96
7.461,0.1811,0.15,96
7.466,0.1813,0.15,99
7.472,0.1807,0.15,101
7.477,0.1809,0.15,102
7.483,0.1811,0.15,102
7.488,0.1809,0.15,102
7.494,0.1811,0.15,102
7.499,0.1813,0.15,102
7.505,0.1814,0.15,102
7.51,0.1814,0.15,97
7.516,0.1815,0.15,95
7.522,0.1815,0.15,93
7.527,0.1815,0.15,93
7.533,0.1815,0.15,94
7.538,0.1815,0.15,95
7.544,0.1816,0.15,95
7.549,0.1816,0.15,96
7.555,0.1816,0.15,96
7.56,0.1816,0.15,96
7.566,0.1816,0.15,96
7.571,0.181,0.15,96
7.577,0.1809,0.15,100
7.582,0.1811,0.15,103
7.588,0.1812,0.15,104
7.593,0.1814,0.15,105
7.599,0.1826,0.15,93
7.605,0.1814,0.15,87
7.61,0.1808,0.15,83
7.615,0.1822,0.15,81
7.621,0.1811,0.15,94
7.627,0.1814,0.15,103
7.632,0.1815,0.15,108
7.638,0.1806,0.15,111
7.644,0.1809,0.15,107
7.649,0.181,0.15,104
7.655,0.1812,0.15,103
7.66,0.1825,0.15,102
7.666,0.1835,0.15,88
7.672,0.1836,0.15,79
7.677,0.1831,0.15,73
7.682,0.1827,0.15,70
7.688,0.1824,0.15,86
7.693,0.1822,0.15,95
7.699,0.1821,0.15,101
7.705,0.182,0.15,105
7.71,0.1818,0.15,104
7.716,0.1818,0.15,104
7.722,0.1818,0.15,104
7.727,0.1818,0.15,104
7.733,0.1817,0.15,102
7.738,0.1817,0.15,100
7.744,0.1817,0.15,100
7.749,0.1817,0.15,99
7.755,0.1817,0.15,98
7.76,0.1817,0.15,98
7.766,0.1817,0.15,97
7.771,0.181,0.15,97
7.777,0.1812,0.15,99
7.782,0.1813,0.15,101
7.788,0.1824,0.15,102
7.794,0.1822,0.15,102
7.799,0.183,0.15,91
7.804,0.1827,0.15,85
7.81,0.1823,0.15,81
7.815,0.1822,0.15,78
7.821,0.1821,0.15,90
7.827,0.1829,0.15,97
7.832,0.1826,0.15,102
7.838,0.1824,0.15,105
7.844,0.1832,0.15,96
7.849,0.1825,0.15,90
7.855,0.1825,0.15,88
7.86,0.1823,0.15,86
7.866,0.1831,0.15,90
7.871,0.1821,0.15,93
7.877,0.1829,0.15,94
7.882,0.1826,0.15,95
7.888,0.1824,0.15,99
7.894,0.1822,0.15,102
7.899,0.182,0.15,103
7.905,0.182,0.15,104
7.91,0.1813,0.15,107
7.916,0.1814,0.15,108
7.922,0.1815,0.15,109
7.927,0.1815,0.15,110
7.932,0.1816,0.15,103
7.938,0.1817,0.15,99
7.944,0.1827,0.15,96
7.949,0.1824,0.15,95
7.954,0.1823,0.15,92
7.96,0.1831,0.15,90
7.966,0.1826,0.15,90
7.972,0.1825,0.15,89
7.977,0.1832,0.15,88
7.983,0.1838,0.15,86
7.988,0.1835,0.15,86
7.994,0.184,0.15,85
7.999,0.1823,0.15,94
8.005,0.183,0.15,100
8.011,0.183,0.15,103
8.016,0.1836,0.15,105
8.022,0.182,0.15,103
8.027,0.1818,0.15,102
8.033,0.1827,0.15,101
8.038,0.1825,0.15,101
8.044,0.1811,0.15,103
8.05,0.1822,0.15,105
8.055,0.183,0.15,106
8.061,0.1836,0.15,106
8.066,0.1838,0.15,89
8.072,0.1833,0.15,79
8.078,0.1838,0.15,72
8.083,0.183,0.15,68
8.089,0.183,0.15,84
8.094,0.1836,0.15,92
8.099,0.1829,0.15,98
8.105,0.1823,0.15,101
8.111,0.181,0.15,109
8.116,0.1809,0.15,114
8.122,0.1821,0.15,117
8.128,0.1829,0.15,119
8.133,0.1814,0.15,107
8.139,0.1824,0.15,101
8.144,0.1811,0.15,97
8.15,0.1803,0.15,94
8.155,0.1804,0.15,100
8.161,0.1805,0.15,103
8.166,0.1817,0.15,106
8.172,0.182,0.15,107
8.178,0.1829,0.15,90
8.183,0.1824,0.15,81
8.189,0.1813,0.15,74
8.194,0.1811,0.15,71
8.2,0.181,0.15,90
8.205,0.1809,0.15,102
8.211,0.1802,0.15,109
8.216,0.1803,0.15,113
8.222,0.1805,0.15,109
8.227,0.1805,0.15,107
8.233,0.1806,0.15,105
8.239,0.1806,0.15,104
8.244,0.1806,0.15,100
8.25,0.1806,0.15,98
8.255,0.1807,0.15,96
8.26,0.1807,0.15,95
8.266,0.1807,0.15,95
8.272,0.1798,0.15,95
8.277,0.18,0.15,95
8.282,0.1802,0.15,95
8.288,0.1803,0.15,97
8.294,0.1804,0.15,99
8.299,0.1816,0.15,99
8.305,0.1814,0.15,100
8.31,0.1806,0.15,97
8.316,0.1809,0.15,95
8.321,0.1808,0.15,94
8.327,0.182,0.15,93
8.332,0.1808,0.15,93
8.338,0.182,0.15,94
8.343,0.1829,0.15,94
8.349,0.1825,0.15,94
8.354,0.1832,0.15,83
8.36,0.1838,0.15,76
8.365,0.1842,0.15,72
8.371,0.1835,0.15,69
8.376,0.183,0.15,81
8.382,0.1836,0.15,88
8.387,0.1841,0.15,91
8.393,0.1845,0.15,94
8.399,0.1826,0.15,97
8.404,0.1812,0.15,98
8.41,0.1813,0.15,99
8.415,0.1824,0.15,100
8.421,0.1822,0.15,100
8.427,0.182,0.15,100
8.432,0.1823,0.15,100
8.438,0.1821,0.15,100
8.443,0.183,0.15,94
8.449,0.183,0.15,90
8.454,0.1836,0.15,89
8.46,0.1829,0.15,88
8.465,0.1823,0.15,93
8.471,0.1825,0.15,97
8.476,0.182,0.15,99
8.482,0.1826,0.15,101
8.487,0.1822,0.15,99
8.493,0.1818,0.15,98
8.498,0.1815,0.15,98
8.503,0.1823,0.15,98
8.509,0.1818,0.15,98
8.515,0.1815,0.15,99
8.52,0.1813,0.15,99
8.526,0.1811,0.15,99
8.532,0.1809,0.15,102
8.537,0.1818,0.15,103
8.543,0.1825,0.15,104
8.548,0.183,0.15,105
8.554,0.1834,0.15,90
8.56,0.1836,0.15,80
8.565,0.1839,0.15,74
8.571,0.1834,0.15,70
8.576,0.1825,0.15,85
8.582,0.1809,0.15,93
8.587,0.1806,0.15,98
8.593,0.1795,0.15,101
8.598,0.1786,0.15,114
8.604,0.1801,0.15,122
8.609,0.1796,0.15,127
8.615,0.1787,0.15,130
8.62,0.1801,0.15,109
8.626,0.1812,0.15,96
8.631,0.1799,0.15,89
8.637,0.18,0.15,84
8.642,0.179,0.15,94
8.648,0.1803,0.15,100
8.653,0.1792,0.15,104
8.659,0.1795,0.15,106
8.664,0.1786,0.15,104
8.67,0.1791,0.15,102
8.675,0.1783,0.15,101
8.681,0.1778,0.15,101
8.687,0.1773,0.15,105
8.692,0.1785,0.15,108
8.697,0.1779,0.15,110
8.703,0.1795,0.15,111
8.709,0.1786,0.15,98
8.714,0.178,0.15,90
8.719,0.1775,0.15,87
8.725,0.1792,0.15,84
8.731,0.1799,0.15,83
8.736,0.1789,0.15,82
8.742,0.1792,0.15,81
8.747,0.1793,0.15,81
8.753,0.1785,0.15,93
8.758,0.18,0.15,101
8.764,0.1797,0.15,106
8.769,0.178,0.15,109
8.775,0.1777,0.15,108
8.78,0.1784,0.15,107
8.786,0.179,0.15,106
8.791,0.1795,0.15,106
8.797,0.1807,0.15,87
8.803,0.1807,0.15,76
8.808,0.1807,0.15,68
8.813,0.1807,0.15,64
8.819,0.1807,0.15,77
8.825,0.1808,0.15,84
8.83,0.1813,0.15,89
8.836,0.1812,0.15,91
8.841,0.1822,0.15,86
8.847,0.1818,0.15,82
8.852,0.1809,0.15,80
8.858,0.1817,0.15,78
8.863,0.1826,0.15,83
8.869,0.1812,0.15,85
8.875,0.1823,0.15,87
8.88,0.1821,0.15,88
8.885,0.182,0.15,93
8.891,0.1809,0.15,96
8.897,0.1812,0.15,99
8.902,0.1813,0.15,100
8.908,0.1816,0.15,100
8.914,0.1816,0.15,100
8.919,0.1828,0.15,100
8.925,0.1837,0.15,100
8.93,0.1841,0.15,86
8.935,0.1826,0.15,76
8.941,0.1824,0.15,71
8.947,0.1812,0.15,68
8.952,0.1807,0.15,94
8.957,0.181,0.15,110
8.963,0.1811,0.15,120
8.969,0.181,0.15,126
8.975,0.1811,0.15,111
8.98,0.1813,0.15,102
8.985,0.1814,0.15,97
8.991,0.1818,0.15,94
8.997,0.1818,0.15,91
9.002,0.1817,0.15,90
9.008,0.1827,0.15,89
9.013,0.1817,0.15,88
9.019,0.1827,0.15,86
9.024,0.1812,0.15,85
9.03,0.182,0.15,84
9.035,0.1829,0.15,84
9.041,0.1835,0.15,84
9.047,0.184,0.15,84
9.052,0.1837,0.15,84
9.058,0.1839,0.15,84
9.063,0.1843,0.15,84
9.069,0.1845,0.15,84
9.074,0.1847,0.15,84
9.08,0.1849,0.15,84
9.085,0.185,0.15,84
9.091,0.1845,0.15,85
9.096,0.1838,0.15,85
9.102,0.1832,0.15,85
9.107,0.1828,0.15,99
9.113,0.1825,0.15,108
9.118,0.1822,0.15,113
9.124,0.1821,0.15,116
9.13,0.1813,0.15,115
9.135,0.1824,0.15,113
9.141,0.1821,0.15,113
9.147,0.1829,0.15,112
9.152,0.1836,0.15,93
9.158,0.1829,0.15,83
9.163,0.1823,0.15,76
9.169,0.1819,0.15,72
9.174,0.1816,0.15,90
9.18,0.1814,0.15,101
