time_s,pos_m,setpoint_m,servo_deg
1.146,0.0444,0.15,119.0
1.148,0.0438,0.15,119.0
1.152,0.0434,0.15,118.0
1.155,0.0431,0.15,125.0
1.158,0.0428,0.15,129.0
1.161,0.0422,0.15,131.0
1.164,0.0412,0.15,132.0
1.167,0.0414,0.15,133.0
1.17,0.0415,0.15,134.0
1.173,0.0417,0.15,134.0
1.176,0.042,0.15,134.0
1.179,0.0423,0.15,134.0
1.182,0.0413,0.15,134.0
1.185,0.0411,0.15,134.0
1.189,0.0416,0.15,134.0
1.191,0.042,0.15,134.0
1.194,0.0433,0.15,134.0
1.198,0.0424,0.15,130.0
1.2,0.0426,0.15,127.0
1.204,0.0428,0.15,125.0
1.206,0.0428,0.15,124.0
1.21,0.0429,0.15,124.0
1.213,0.0439,0.15,123.0
1.216,0.0446,0.15,123.0
1.219,0.0452,0.15,111.0
1.222,0.0456,0.15,104.0
1.226,0.0471,0.15,100.0
1.228,0.047,0.15,97.0
1.232,0.0479,0.15,96.0
1.235,0.0495,0.15,95.0
1.238,0.0486,0.15,94.0
1.241,0.0482,0.15,92.0
1.244,0.0491,0.15,91.0
1.248,0.0504,0.15,90.0
1.251,0.0494,0.15,90.0
1.254,0.0488,0.15,90.0
1.257,0.0471,0.15,90.0
1.259,0.0468,0.15,90.0
1.263,0.0471,0.15,107.0
1.266,0.0458,0.15,118.0
1.269,0.0451,0.15,125.0
1.272,0.0445,0.15,129.0
1.275,0.0442,0.15,131.0
1.278,0.0436,0.15,132.0
1.281,0.0432,0.15,133.0
1.284,0.043,0.15,134.0
1.287,0.0428,0.15,134.0
1.29,0.0426,0.15,134.0
1.293,0.0427,0.15,134.0
1.296,0.0419,0.15,134.0
1.299,0.0421,0.15,134.0
1.302,0.0414,0.15,134.0
1.305,0.0409,0.15,134.0
1.308,0.0405,0.15,134.0
1.311,0.0402,0.15,134.0
1.314,0.0411,0.15,134.0
1.317,0.0407,0.15,134.0
1.32,0.0401,0.15,134.0
1.323,0.0399,0.15,134.0
1.326,0.0395,0.15,134.0
1.329,0.0392,0.15,134.0
1.332,0.0393,0.15,134.0
1.335,0.0392,0.15,134.0
1.338,0.0392,0.15,134.0
1.341,0.0393,0.15,134.0
1.344,0.0386,0.15,134.0
1.347,0.0399,0.15,131.0
1.35,0.0398,0.15,128.0
1.353,0.0401,0.15,127.0
1.356,0.0404,0.15,126.0
1.359,0.0401,0.15,125.0
1.362,0.04,0.15,125.0
1.365,0.0403,0.15,125.0
1.368,0.0398,0.15,128.0
1.371,0.0394,0.15,130.0
1.374,0.0394,0.15,131.0
1.377,0.0391,0.15,131.0
1.38,0.0389,0.15,132.0
1.383,0.0391,0.15,132.0
1.386,0.0391,0.15,132.0
1.389,0.0382,0.15,133.0
1.392,0.0385,0.15,134.0
1.395,0.0378,0.15,134.0
1.398,0.0381,0.15,134.0
1.401,0.0386,0.15,134.0
1.404,0.0386,0.15,134.0
1.407,0.0386,0.15,134.0
1.41,0.0388,0.15,130.0
1.413,0.0389,0.15,128.0
1.416,0.0391,0.15,126.0
1.419,0.0389,0.15,125.0
1.422,0.0387,0.15,125.0
1.425,0.0401,0.15,125.0
1.428,0.0399,0.15,124.0
1.431,0.0398,0.15,122.0
1.434,0.0408,0.15,120.0
1.437,0.0406,0.15,120.0
1.44,0.0403,0.15,119.0
1.443,0.0399,0.15,119.0
1.446,0.04,0.15,119.0
1.449,0.04,0.15,118.0
1.452,0.0399,0.15,123.0
1.455,0.0398,0.15,126.0
1.458,0.0401,0.15,128.0
1.462,0.042,0.15,129.0
1.465,0.0404,0.15,129.0
1.467,0.0413,0.15,129.0
1.471,0.042,0.15,130.0
1.474,0.0437,0.15,111.0
1.477,0.0428,0.15,99.0
1.48,0.0431,0.15,92.0
1.483,0.0433,0.15,89.0
1.486,0.0435,0.15,87.0
1.489,0.0458,0.15,85.0
1.493,0.0465,0.15,85.0
1.495,0.047,0.15,86.0
1.499,0.0474,0.15,87.0
1.502,0.0475,0.15,88.0
1.505,0.0475,0.15,88.0
1.508,0.0476,0.15,89.0
1.511,0.0484,0.15,89.0
1.514,0.0503,0.15,89.0
1.518,0.0532,0.15,89.0
1.521,0.0554,0.15,89.0
1.527,0.0563,0.15,89.0
1.536,0.0563,0.15,75.0
1.544,0.0563,0.15,66.0
1.553,0.0563,0.15,61.0
1.561,0.0563,0.15,88.0
1.569,0.0558,0.15,103.0
1.572,0.0571,0.15,113.0
1.576,0.0583,0.15,118.0
1.579,0.058,0.15,122.0
1.583,0.0577,0.15,117.0
1.586,0.0569,0.15,113.0
1.589,0.0556,0.15,111.0
1.592,0.0544,0.15,110.0
1.595,0.0534,0.15,110.0
1.599,0.0524,0.15,109.0
1.602,0.0529,0.15,119.0
1.605,0.0533,0.15,125.0
1.608,0.0516,0.15,129.0
1.611,0.0526,0.15,131.0
1.615,0.0523,0.15,133.0
1.618,0.0521,0.15,133.0
1.621,0.052,0.15,134.0
1.624,0.0538,0.15,127.0
1.628,0.0554,0.15,123.0
1.632,0.0575,0.15,121.0
1.639,0.0596,0.15,120.0
1.642,0.0585,0.15,119.0
1.645,0.0568,0.15,107.0
1.648,0.0534,0.15,100.0
1.651,0.0508,0.15,96.0
1.654,0.0489,0.15,94.0
1.657,0.0457,0.15,92.0
1.66,0.0441,0.15,91.0
1.663,0.042,0.15,91.0
1.666,0.0406,0.15,108.0
1.669,0.0392,0.15,119.0
1.672,0.0391,0.15,125.0
1.675,0.0371,0.15,129.0
1.678,0.0368,0.15,131.0
1.681,0.0358,0.15,132.0
1.683,0.0351,0.15,133.0
1.686,0.0342,0.15,134.0
1.689,0.0345,0.15,134.0
1.693,0.0348,0.15,134.0
1.695,0.0352,0.15,134.0
1.699,0.0365,0.15,134.0
1.701,0.0374,0.15,134.0
1.704,0.0381,0.15,134.0
1.708,0.0408,0.15,101.0
1.711,0.0461,0.15,82.0
1.717,0.047,0.15,70.0
1.722,0.0486,0.15,62.0
1.726,0.0642,0.15,58.0
1.73,0.0755,0.15,53.0
1.734,0.0808,0.15,50.0
